"","game_id","away_team","home_team","spread_line","proj_result","spread_proj_diff","value_team","result"
"1","2024_01_NE_CIN","NE","CIN",8,3.3649963886258,4.6350036113742,"NE",-6
"2","2024_01_DEN_SEA","DEN","SEA",6,1.42699380673955,4.57300619326045,"DEN",6
"3","2024_01_NYJ_SF","NYJ","SF",4.5,8.78530848512023,-4.28530848512023,"SF",13
"4","2024_01_GB_PHI","GB","PHI",2,-2.02107107493096,4.02107107493096,"GB",5
"5","2024_01_BAL_KC","BAL","KC",3,-0.40371066991755,3.40371066991755,"BAL",7
"6","2024_01_HOU_IND","HOU","IND",-3,0.260275735044512,-3.26027573504451,"IND",-2
"7","2024_01_LA_DET","LA","DET",3.5,0.56294316631932,2.93705683368068,"LA",6
"8","2024_01_LV_LAC","LV","LAC",3,0.26404687825227,2.73595312174773,"LV",12
"9","2024_01_TEN_CHI","TEN","CHI",4,1.28536356009015,2.71463643990985,"TEN",7
"10","2024_01_PIT_ATL","PIT","ATL",3.5,0.940141655388218,2.55985834461178,"PIT",-8
"11","2024_01_WAS_TB","WAS","TB",3.5,5.71800077109601,-2.21800077109601,"TB",17
"12","2024_01_CAR_NO","CAR","NO",4,6.0105840021263,-2.0105840021263,"NO",37
"13","2024_01_DAL_CLE","DAL","CLE",2.5,0.76861042157068,1.73138957842932,"DAL",-16
"14","2024_01_JAX_MIA","JAX","MIA",3.5,1.82376924837732,1.67623075162268,"JAX",3
"15","2024_01_ARI_BUF","ARI","BUF",6.5,5.77860057306561,0.72139942693439,"ARI",6
"16","2024_01_MIN_NYG","MIN","NYG",-2,-2.68985581615717,0.689855816157174,"MIN",-22
"17","2024_02_IND_GB","IND","GB",-3,4.11004584315889,-7.11004584315889,"GB",6
"18","2024_02_NO_DAL","NO","DAL",6.5,0.31326830368822,6.18673169631178,"NO",-25
"19","2024_02_TB_DET","TB","DET",7,1.05657486471903,5.94342513528097,"TB",-4
"20","2024_02_NYJ_TEN","NYJ","TEN",-3.5,2.40387133728781,-5.90387133728781,"TEN",-7
"21","2024_02_SF_MIN","SF","MIN",-6,-0.76652300746569,-5.23347699253431,"MIN",6
"22","2024_02_LA_ARI","LA","ARI",1.5,-3.44002914136184,4.94002914136184,"LA",31
"23","2024_02_CHI_HOU","CHI","HOU",6.5,3.61427342430862,2.88572657569138,"CHI",6
"24","2024_02_SEA_NE","SEA","NE",-3.5,-0.665153266276936,-2.83484673372306,"NE",-3
"25","2024_02_ATL_PHI","ATL","PHI",6.5,3.89843292920234,2.60156707079766,"ATL",-1
"26","2024_02_NYG_WAS","NYG","WAS",1.5,4.00264621948315,-2.50264621948315,"WAS",3
"27","2024_02_BUF_MIA","BUF","MIA",2,-0.23715615323924,2.23715615323924,"BUF",-21
"28","2024_02_LV_BAL","LV","BAL",10,8.04748383992985,1.95251616007015,"LV",-3
"29","2024_02_CLE_JAX","CLE","JAX",3,1.70407491555946,1.29592508444054,"CLE",-5
"30","2024_02_LAC_CAR","LAC","CAR",-6.5,-5.71169618574281,-0.788303814257191,"CAR",-23
"31","2024_02_CIN_KC","CIN","KC",6,5.56196477191356,0.438035228086439,"CIN",1
"32","2024_02_PIT_DEN","PIT","DEN",-3,-3.09264014147048,0.0926401414704801,"PIT",-7
"33","2024_03_PHI_NO","PHI","NO",2.5,9.4805141928546,-6.9805141928546,"NO",-3
"34","2024_03_HOU_MIN","HOU","MIN",-2.5,3.15952479328123,-5.65952479328123,"MIN",27
"35","2024_03_CAR_LV","CAR","LV",5.5,10.9664392610984,-5.46643926109839,"LV",-14
"36","2024_03_GB_TEN","GB","TEN",3,-2.23902220197542,5.23902220197542,"GB",-16
"37","2024_03_NE_NYJ","NE","NYJ",6.5,1.48545106279972,5.01454893720028,"NE",21
"38","2024_03_DET_ARI","DET","ARI",-2.5,1.09744959774561,-3.59744959774561,"ARI",-7
"39","2024_03_WAS_CIN","WAS","CIN",7.5,4.04095780345035,3.45904219654965,"WAS",-5
"40","2024_03_SF_LA","SF","LA",-7,-4.42377848487666,-2.57622151512334,"LA",3
"41","2024_03_LAC_PIT","LAC","PIT",1.5,-0.39519478406149,1.89519478406149,"LAC",10
"42","2024_03_DEN_TB","DEN","TB",7,8.8251939385809,-1.8251939385809,"TB",-19
"43","2024_03_JAX_BUF","JAX","BUF",5.5,7.21961658198397,-1.71961658198397,"BUF",37
"44","2024_03_MIA_SEA","MIA","SEA",5,3.55722888399334,1.44277111600666,"MIA",21
"45","2024_03_KC_ATL","KC","ATL",-3.5,-2.77201731422071,-0.72798268577929,"ATL",-5
"46","2024_03_CHI_IND","CHI","IND",1,1.70962422443911,-0.70962422443911,"IND",5
"47","2024_03_NYG_CLE","NYG","CLE",6,6.37686857232128,-0.37686857232128,"CLE",-6
"48","2024_03_BAL_DAL","BAL","DAL",-1,-1.06134868476569,0.061348684765687,"BAL",-3
"49","2024_04_NO_ATL","NO","ATL",2,-6.26080963805633,8.26080963805633,"NO",2
"50","2024_04_KC_LAC","KC","LAC",-8,-1.22120950948328,-6.77879049051672,"LAC",-7
"51","2024_04_BUF_BAL","BUF","BAL",2.5,-4.01274747176116,6.51274747176116,"BUF",25
"52","2024_04_PHI_TB","PHI","TB",-2.5,2.04673254523372,-4.54673254523372,"TB",17
"53","2024_04_PIT_IND","PIT","IND",-1.5,-4.54314575305382,3.04314575305382,"PIT",3
"54","2024_04_DAL_NYG","DAL","NYG",-4.5,-1.85428829050614,-2.64571170949386,"NYG",-5
"55","2024_04_SEA_DET","SEA","DET",4,1.51589411585501,2.48410588414499,"SEA",13
"56","2024_04_CIN_CAR","CIN","CAR",-4.5,-6.85463045298593,2.35463045298593,"CIN",-10
"57","2024_04_DEN_NYJ","DEN","NYJ",7,4.77269028658256,2.22730971341744,"DEN",-1
"58","2024_04_JAX_HOU","JAX","HOU",6,3.87608086010467,2.12391913989533,"JAX",4
"59","2024_04_MIN_GB","MIN","GB",2.5,0.44369942888257,2.05630057111743,"MIN",-2
"60","2024_04_WAS_ARI","WAS","ARI",3.5,1.55172464249387,1.94827535750613,"WAS",-28
"61","2024_04_LA_CHI","LA","CHI",3,1.17762871624262,1.82237128375738,"LA",6
"62","2024_04_TEN_MIA","TEN","MIA",1,2.41785190981546,-1.41785190981546,"MIA",-19
"63","2024_04_CLE_LV","CLE","LV",1,-0.13132633584365,1.13132633584365,"CLE",4
"64","2024_04_NE_SF","NE","SF",10,8.92196852317178,1.07803147682822,"NE",17
"65","2024_05_NO_KC","NO","KC",5,-1.39661057703,6.39661057703,"NO",13
"66","2024_05_TB_ATL","TB","ATL",1.5,-2.70818408863693,4.20818408863693,"TB",6
"67","2024_05_CAR_CHI","CAR","CHI",3.5,7.70032078044726,-4.20032078044726,"CHI",26
"68","2024_05_BUF_HOU","BUF","HOU",-1,-3.88952396483036,2.88952396483036,"BUF",3
"69","2024_05_IND_JAX","IND","JAX",2.5,-0.11479110293845,2.61479110293845,"IND",3
"70","2024_05_MIA_NE","MIA","NE",1,-1.48832488477498,2.48832488477498,"MIA",-5
"71","2024_05_ARI_SF","ARI","SF",7.5,9.62920682657633,-2.12920682657633,"SF",-1
"72","2024_05_CLE_WAS","CLE","WAS",3,5.02133017956534,-2.02133017956534,"WAS",21
"73","2024_05_LV_DEN","LV","DEN",2.5,4.09227613508288,-1.59227613508288,"DEN",16
"74","2024_05_GB_LA","GB","LA",-3,-1.86398599378826,-1.13601400621174,"LA",-5
"75","2024_05_DAL_PIT","DAL","PIT",2.5,3.60770289571426,-1.10770289571426,"PIT",-3
"76","2024_05_BAL_CIN","BAL","CIN",-2.5,-1.56172605669708,-0.93827394330292,"CIN",-3
"77","2024_05_NYG_SEA","NYG","SEA",6,6.36221377138433,-0.36221377138433,"SEA",-9
"78","2024_05_NYJ_MIN","NYJ","MIN",2.5,2.51080145603601,-0.0108014560360097,"MIN",6
"79","2024_06_TB_NO","TB","NO",-2,3.76634658211879,-5.76634658211879,"NO",-24
"80","2024_06_LAC_DEN","LAC","DEN",-3,0.844964180934381,-3.84496418093438,"DEN",-7
"81","2024_06_CLE_PHI","CLE","PHI",8.5,5.05349425497133,3.44650574502867,"CLE",4
"82","2024_06_HOU_NE","HOU","NE",-7,-3.91422200858565,-3.08577799141435,"NE",-20
"83","2024_06_DET_DAL","DET","DAL",-3,-0.792972823733311,-2.20702717626669,"DAL",-38
"84","2024_06_WAS_BAL","WAS","BAL",6.5,4.75955526610847,1.74044473389153,"WAS",7
"85","2024_06_BUF_NYJ","BUF","NYJ",-2.5,-4.14914925351688,1.64914925351688,"BUF",-3
"86","2024_06_SF_SEA","SF","SEA",-3.5,-1.85502519169685,-1.64497480830315,"SEA",-12
"87","2024_06_JAX_CHI","JAX","CHI",2,3.27478491707763,-1.27478491707763,"CHI",19
"88","2024_06_ATL_CAR","ATL","CAR",-6,-4.96475930336019,-1.03524069663981,"CAR",-18
"89","2024_06_PIT_LV","PIT","LV",-3,-3.82285030034637,0.822850300346366,"PIT",-19
"90","2024_06_CIN_NYG","CIN","NYG",-3.5,-2.77790969915597,-0.72209030084403,"NYG",-10
"91","2024_06_ARI_GB","ARI","GB",5,5.49672751500873,-0.49672751500873,"GB",21
"92","2024_06_IND_TEN","IND","TEN",-1,-1.30051346195835,0.300513461958348,"IND",-3
"93","2024_07_NYJ_PIT","NYJ","PIT",-1.5,4.70699148210576,-6.20699148210576,"PIT",22
"94","2024_07_DEN_NO","DEN","NO",-2,3.51984295638643,-5.51984295638643,"NO",-23
"95","2024_07_CAR_WAS","CAR","WAS",7.5,12.1622261584354,-4.66222615843538,"WAS",33
"96","2024_07_MIA_IND","MIA","IND",3,6.72914445223812,-3.72914445223812,"IND",6
"97","2024_07_BAL_TB","BAL","TB",-3.5,-0.18161820060747,-3.31838179939253,"TB",-10
"98","2024_07_LV_LA","LV","LA",6.5,4.05438792707123,2.44561207292877,"LV",5
"99","2024_07_NE_JAX","NE","JAX",5.5,3.41987499855417,2.08012500144583,"NE",16
"100","2024_07_PHI_NYG","PHI","NYG",-3.5,-1.48744260655265,-2.01255739344735,"NYG",-25
"101","2024_07_DET_MIN","DET","MIN",2.5,0.591631530356381,1.90836846964362,"DET",-2
"102","2024_07_HOU_GB","HOU","GB",2.5,4.00654119296588,-1.50654119296588,"GB",2
"103","2024_07_KC_SF","KC","SF",1.5,2.65518242985981,-1.15518242985981,"SF",-10
"104","2024_07_TEN_BUF","TEN","BUF",8.5,9.63729964963972,-1.13729964963972,"BUF",24
"105","2024_07_CIN_CLE","CIN","CLE",-5.5,-6.17641676936026,0.676416769360261,"CIN",-7
"106","2024_07_LAC_ARI","LAC","ARI",-2.5,-3.08275539273943,0.58275539273943,"LAC",2
"107","2024_07_SEA_ATL","SEA","ATL",2.5,2.33933834629943,0.160661653700575,"SEA",-20
"108","2024_08_ATL_TB","ATL","TB",-2.5,4.67052930455706,-7.17052930455706,"TB",-5
"109","2024_08_CHI_WAS","CHI","WAS",-2.5,3.22235767269364,-5.72235767269364,"WAS",3
"110","2024_08_DAL_SF","DAL","SF",4.5,9.75186576378002,-5.25186576378002,"SF",6
"111","2024_08_CAR_DEN","CAR","DEN",8,12.0768171460204,-4.07681714602043,"DEN",14
"112","2024_08_ARI_MIA","ARI","MIA",3,-0.85514924405342,3.85514924405342,"ARI",-1
"113","2024_08_IND_HOU","IND","HOU",6,2.24536466151759,3.75463533848241,"IND",3
"114","2024_08_NO_LAC","NO","LAC",7,3.70871560250068,3.29128439749932,"NO",18
"115","2024_08_NYG_PIT","NYG","PIT",6,8.98607025797346,-2.98607025797346,"PIT",8
"116","2024_08_NYJ_NE","NYJ","NE",-7,-4.23355349963366,-2.76644650036634,"NE",3
"117","2024_08_MIN_LA","MIN","LA",-3.5,-5.35391644771084,1.85391644771084,"MIN",10
"118","2024_08_TEN_DET","TEN","DET",10.5,12.1044310718626,-1.60443107186264,"DET",38
"119","2024_08_BUF_SEA","BUF","SEA",-3,-4.39622427533369,1.39622427533369,"BUF",-21
"120","2024_08_GB_JAX","GB","JAX",-4.5,-5.51228104880584,1.01228104880584,"GB",-3
"121","2024_08_BAL_CLE","BAL","CLE",-11.5,-10.5194850036728,-0.98051499632718,"CLE",5
"122","2024_08_PHI_CIN","PHI","CIN",2.5,1.79102684638596,0.70897315361404,"PHI",-20
"123","2024_08_KC_LV","KC","LV",-9.5,-9.16399932657642,-0.33600067342358,"LV",-7
"124","2024_09_MIA_BUF","MIA","BUF",6,14.743559107344,-8.74355910734398,"BUF",3
"125","2024_09_TB_KC","TB","KC",8.5,3.88807075500794,4.61192924499206,"TB",6
"126","2024_09_DAL_ATL","DAL","ATL",2.5,6.86086584991818,-4.36086584991818,"ATL",6
"127","2024_09_WAS_NYG","WAS","NYG",-3.5,-7.61371269594932,4.11371269594932,"WAS",-5
"128","2024_09_LAC_CLE","LAC","CLE",-2,-5.61181297330328,3.61181297330328,"LAC",-17
"129","2024_09_DEN_BAL","DEN","BAL",9,6.20579009120527,2.79420990879473,"DEN",31
"130","2024_09_LA_SEA","LA","SEA",-1,1.51654742623324,-2.51654742623324,"SEA",-6
"131","2024_09_HOU_NYJ","HOU","NYJ",2,-0.0150398663335651,2.01503986633357,"HOU",8
"132","2024_09_DET_GB","DET","GB",-3.5,-1.6606978911483,-1.8393021088517,"GB",-10
"133","2024_09_LV_CIN","LV","CIN",7.5,8.79962385998306,-1.29962385998306,"CIN",17
"134","2024_09_IND_MIN","IND","MIN",6,5.21227418578826,0.787725814211741,"IND",8
"135","2024_09_NO_CAR","NO","CAR",-7,-6.39634023603148,-0.603659763968521,"CAR",1
"136","2024_09_CHI_ARI","CHI","ARI",-1,-1.4588590582843,0.4588590582843,"CHI",20
"137","2024_09_NE_TEN","NE","TEN",3.5,3.70701169711955,-0.20701169711955,"TEN",3
"138","2024_09_JAX_PHI","JAX","PHI",7.5,7.70260194873823,-0.20260194873823,"PHI",5
"139","2024_10_SF_TB","SF","TB",-5,-1.0177348606438,-3.9822651393562,"TB",-3
"140","2024_10_NE_CHI","NE","CHI",6,9.60203284690773,-3.60203284690773,"CHI",-16
"141","2024_10_BUF_IND","BUF","IND",-4,-7.49322629015374,3.49322629015374,"BUF",-10
"142","2024_10_MIA_LA","MIA","LA",2.5,4.99800767401602,-2.49800767401602,"LA",-8
